id;fecha;pais;estatdo;desc_estado;estatus;usuario;fecha_mod
1;2023-03-22;Buckinghamshire Berkshire;Soporte Som ROI;envisioneer complejidad;Inactivo;habilidad compuesto RSS;2023-03-22
2;2023-03-22;Borders;PNG;communities;Activo;mobile Salvador redefine;2023-03-22
3;2023-03-22;ejecutiva;programming;Queso;Inactivo;Explanada;2023-03-22
4;2023-03-22;efficient Avon Ensalada;Datos deposit Inversor;Dollar;Activo;cross-platform generate Unidos;2023-03-22
5;2023-03-22;reinvent bleeding-edge;payment;Liberian;Activo;Integración Home interactive;2023-03-22
6;2023-03-22;IB;users networks;Configuración;Inactivo;Optimizado withdrawal;2023-03-22
7;2023-03-22;panel Pizza;array interactive;Lari Oficial;Activo;Región La Marketing;2023-03-22
8;2023-03-22;actitud núcleo application;León;Bahamas Productor;Inactivo;Ouguiya Verde;2023-03-22
9;2023-03-22;Increible;Loan Investment Mascotas;program Serbia;Activo;Increible Ordenador haptic;2023-03-22
10;2023-03-22;Senior Representante invoice;Humano;Integración toda;Activo;Cambridgeshire Gris clicks-and-mortar;2023-03-22
