id;fecha;desc_est_cfdi;estatus;usuario;fecha_mod
1;2023-03-22;Avon holística Cambridgeshire;Inactivo;quantifying;2023-03-22
2;2023-03-22;visionary;Activo;payment syndicate Ordenador;2023-03-22
3;2023-03-22;Account;Inactivo;infomediaries Programa Amarillo;2023-03-22
4;2023-03-22;integrate Cine;Inactivo;sistemática Central;2023-03-22
5;2023-03-21;Papelería Yuan;Inactivo;estrategia input;2023-03-22
6;2023-03-22;channels reintermediate Guapo;Inactivo;Polígono Nacional;2023-03-22
7;2023-03-22;Comunidad colaboración;Activo;Fantástico;2023-03-22
8;2023-03-22;ejecutiva Ingeniero;Inactivo;León El;2023-03-22
9;2023-03-22;Violeta;Activo;Negro Ladrillo withdrawal;2023-03-22
10;2023-03-22;auxiliary matrix Madera;Inactivo;de deposit;2023-03-22
