id;fecha;motivo_cancel;estatus;usuario;fecha_mod
1;2023-03-22;Sorprendente Supervisor;Inactivo;Guapo Pequeño Reducido;2023-03-22
2;2023-03-22;Cataluña world-class;Inactivo;Blanco;2023-03-22
3;2023-03-22;Credit PCI;Activo;Morado;2023-03-22
4;2023-03-22;Account Azul;Activo;firewall Morado;2023-03-22
5;2023-03-22;Artesanal wireless;Activo;Salchichas;2023-03-22
6;2023-03-22;Granito;Activo;navigating;2023-03-22
7;2023-03-22;wireless port;Inactivo;SSL;2023-03-22
8;2023-03-22;transition;Activo;Distrito Loan drive;2023-03-22
9;2023-03-22;Increible;Activo;neutral pixel 24/365;2023-03-22
10;2023-03-22;open-source en web-enabled;Inactivo;solid Yen adaptador;2023-03-22
