id;fecha;id_instit;nivel;usuario;fecha_mod
1;2023-03-22;81021;20417;sensor Planificador PCI;2023-03-22
2;2023-03-22;85431;3437;Dinánmico;2023-03-22
3;2023-03-22;75823;84710;Ladrillo Azul Castilla-La;2023-03-22
4;2023-03-22;294;21823;portals cross-platform;2023-03-22
5;2023-03-22;10623;64209;Funcionario Inversor cross-platform;2023-03-22
6;2023-03-22;7973;13844;Ergonómico;2023-03-22
7;2023-03-22;79265;74261;Dinánmico input;2023-03-22
8;2023-03-22;21280;7605;basado e-tailers;2023-03-22
9;2023-03-22;29725;36476;Castilla portal rich;2023-03-22
10;2023-03-22;9348;3414;Sabroso generación;2023-03-22
