id;fecha;perfil;usuario;fecha_mod
1;2023-03-22;Madera;infrastructures scale;2023-03-22
2;2023-03-22;bypass;PCI indexing;2023-03-22
3;2023-03-22;Re-implementado invoice aggregate;Contabilidad Guapo Comunidad;2023-03-22
4;2023-03-22;Tailandia sticky;Salud syndicate;2023-03-22
5;2023-03-22;archivo;Rojo back-end withdrawal;2023-03-22
6;2023-03-22;Letonia strategic Extremadura;Avanzado Galicia;2023-03-22
7;2023-03-22;Pelota override;engineer;2023-03-22
8;2023-03-21;up partnerships;Reducido deposit motivadora;2023-03-22
9;2023-03-22;Ladrillo back-end;Morado;2023-03-22
10;2023-03-22;synergistic disintermediate;Sorprendente impactful;2023-03-22
