id;fecha;regimen_f;estatus;usuario;fecha_mod
1;2023-03-22;multi-byte Corporativo heurística;Activo;capa Diverso Buckinghamshire;frictionless leading-edge bricks-and-clicks
2;2023-03-22;Artesanal;Inactivo;Asistente Acero;cross-platform Aragón
3;2023-03-21;SAS Acero;Activo;Account;synergize Ordenador
4;2023-03-22;neutral applications;Inactivo;Fantástico;JSON Funcionario convergence
5;2023-03-22;payment Analista distributed;Activo;HDD transmit;Futuro
6;2023-03-22;Práctico;Activo;utilize Bahamian;world-class Cambridgeshire Implementado
7;2023-03-22;front-end Guapa;Inactivo;Amarillo e-services primary;24/7 Guapa Rambla
8;2023-03-22;back-end;Inactivo;Guapa Verde Urbanización;Pescado 5th
9;2023-03-22;Camiseta;Activo;Profundo Fantástico Jardines;Loan
10;2023-03-22;Facilitador Algodón;Inactivo;Normas Ergonómico;de Técnico
