id;fecha;rep_grafica;estatus;usuario;fecha_mod
1;2023-03-22;Nacional Heredado;Activo;Camiseta deposit bricks-and-clicks;2023-03-22
2;2023-03-22;International productividad;Activo;payment;2023-03-21
3;2023-03-21;Cara;Activo;Guantes;2023-03-22
4;2023-03-22;Integración Calidad sistémica;Activo;capacidad parsing;2023-03-22
5;2023-03-22;Refinado;Inactivo;Librería;2023-03-22
6;2023-03-22;Aragón Arquitecto;Activo;global Cantabria;2023-03-22
7;2023-03-22;Videojuegos Deportes;Inactivo;Avon;2023-03-22
8;2023-03-22;Artesanal robust;Activo;Micronesia redundant invoice;2023-03-22
9;2023-03-22;Integración Cine Ingeniero;Inactivo;Rioja fallos Calidad;2023-03-22
10;2023-03-22;open-source XSS;Activo;Robusto bandwidth Account;2023-03-22
