id;fecha;tipo_cfdi;estatus;usuario;fecha_mod
1;2023-03-22;Mercado technologies;Inactivo;Práctico quantifying red;2023-03-22
2;2023-03-22;Rioja SMS;Activo;emulación Senda;2023-03-22
3;2023-03-22;payment Metal Mascotas;Inactivo;haptic pixel deploy;2023-03-22
4;2023-03-22;back SSL Tugrik;Activo;Interno;2023-03-22
5;2023-03-22;Account Distrito transmitting;Inactivo;Berkshire;2023-03-22
6;2023-03-22;deposit;Inactivo;secundaria array Ensalada;2023-03-22
7;2023-03-22;invoice;Activo;solución Personal Increible;2023-03-22
8;2023-03-22;Metal Central;Inactivo;Account Paseo;2023-03-22
9;2023-03-22;whiteboard;Activo;synthesizing Haiti;2023-03-22
10;2023-03-22;technologies;Inactivo;Papelería Gerente XSS;2023-03-22
