id;fecha;tipo_recibo;clave;estatus;usuario;fecha_mod
1;2023-03-22;Plástico;brand Fantástico;Activo;withdrawal;2023-03-22
2;2023-03-22;discreta;Buckinghamshire Mancha;Activo;synthesizing;2023-03-22
3;2023-03-22;Algodón;Gorro Rústico;Activo;invoice;2023-03-22
4;2023-03-22;Funcionario;Pizza Account parsing;Inactivo;Madera B2C Metal;2023-03-22
5;2023-03-22;Coordinador;connecting Decoración potenciada;Inactivo;Auto Silla Configurable;2023-03-21
6;2023-03-22;Moda;firewall;Activo;JBOD transmitting;2023-03-22
7;2023-03-22;SQL soporte;Hormigon Juguetería Bedfordshire;Inactivo;La Avanzado Plástico;2023-03-22
8;2023-03-22;world-class PNG Teclado;Parafarmacia;Inactivo;tiempo direccional Consultor;2023-03-22
9;2023-03-22;bypassing;portal;Inactivo;Avon;2023-03-22
10;2023-03-22;Puerta back-end;bluetooth Canarias target;Inactivo;previsión Blanco copy;2023-03-22
